T,TM,Tm,H,VV,V,VM,PM 2.5
14,17,11,91,0.6,4.8,13,113.875
9.1,12,6,91,0.5,6.7,13,227.0
8.4,10,7,95,0.5,5.7,11.1,231.25
9.7,15,7,89,0.8,5.9,11.1,272.125
11.7,17,6,83,0.8,10.9,18.3,228.79166666666663
11.3,15,6,89,0.8,9.4,20.6,200.875
10.7,18,5,84,0.5,4.3,11.1,214.04166666666663
12.9,19,9,81,0.8,7.6,13,217.25
13.5,17,11,85,1.1,11.3,16.5,212.45833333333331
13.3,17,10,84,1.3,11.7,18.3,202.66666666666663
11.9,17,9,88,1,7.6,14.8,138.79166666666666
13.1,15,11,88,0.8,4.1,13,153.08333333333334
11.8,17,8,84,0.8,10.7,16.5,159.70833333333334
13,20,6,70,1.9,7.2,20.6,151.875
15.7,22,9,68,1.6,9.8,14.8,224.79166666666663
17.3,23,12,70,1.8,15.6,24.1,177.625
15.6,22,10,82,1.4,13.5,22.2,149.625
17.1,24,10,58,1.9,3.7,11.1,161.16666666666666
17.4,23,11,53,2.3,8.9,61.1,136.75
16.8,24,10,62,2.1,10,18.3,50.91666666666666
17.3,25,9,55,2.6,8,22.2,120.20833333333331
20.5,27,12,52,2.6,8.1,18.3,137.125
19.4,27,12,60,1.4,7,16.5,197.08333333333331
24.1,29,20,66,1.9,15.9,22.2,166.375
22.8,29,18,63,1.9,10.2,20.6,126.58333333333331
21.3,27,16,59,2.3,13,22.2,94.91666666666669
22.7,28,16,58,2.1,10.4,14.8,133.95833333333334
19.6,27,14,36,2.7,9.4,18.3,69.25
19.7,27,12,38,2.9,9.1,16.5,79.29166666666667
16.9,19,15,94,2.3,17.6,27.8,31.625
17,22,14,84,2.3,9.1,24.1,20.416666666666668
16.4,21,12,77,1.9,8.7,16.5,61.125
18.3,26,14,73,2.4,7,20.6,49.583333333333336
19.2,24,15,70,3.1,12.8,20.6,34.916666666666664
17.3,23,10,51,3.2,14.1,18.3,47.5
22.4,28,15,48,1.6,6.3,11.1,128.83333333333334
21.2,27,17,63,2.9,9.4,18.3,56.333333333333336
17,20,15,77,3.1,12,18.3,20.291666666666668
21.2,29,15,55,2.9,6.9,20.6,59.16666666666666
22.8,30,15,51,2.7,7.4,18.3,83.83333333333333
24.9,31,17,51,2.9,11.1,16.5,89.375
28,34,21,48,2.3,5.7,14.8,101.375
28.8,36,20,43,2.6,9.4,25.9,109.75
28.7,35,21,39,3.5,9.3,18.3,42.91666666666666
25.2,31,20,61,2.7,7.6,14.8,47.25
27.5,33,20,48,2.9,8.3,14.8,81.20833333333333
27.3,34,20,46,3.4,12.6,22.2,52.29166666666666
24.2,29,18,71,4,10.6,18.3,28.45833333333333
23.3,29,20,62,3.1,9.3,18.3,49.5
27.1,33,20,41,3.2,9.4,14.8,75.16666666666667
26,32,19,44,3.2,9.6,18.3,53.125
25.2,30,19,59,3.2,10.7,22.2,54.708333333333336
26.7,32,22,53,2.9,8,18.3,52.625
27.9,34,22,52,2.7,8.3,16.5,51.375
33.3,41,22,29,2.4,6.3,13,94.33333333333331
33.3,39,26,32,2.4,11.1,18.3,92.91666666666669
31.6,39,24,28,2.9,9.6,18.3,80.20833333333333
30.9,36,25,34,2.1,16.9,24.1,71.66666666666667
28.9,33,24,43,2.7,16.7,27.8,31.83333333333333
31.1,37,25,41,2.7,17.2,25.9,47.66666666666666
31.5,39,24,36,3.5,9.8,20.6,48.125
31.3,39,24,30,3.2,6.1,16.5,56.25
31.6,41,23,26,2.4,5.7,14.8,103.41666666666669
35.3,43,27,16,2.9,12.2,18.3,76.875
34.7,43,27,19,2.4,8.7,22.2,86.375
35.9,42,27,19,2.6,7.4,14.8,77.70833333333333
26.9,34,23,60,2.9,10.2,18.3,48.5
31,37,24,43,2.9,5.7,14.8,55.083333333333336
29,37,23,49,2.6,7.8,18.3,67.45833333333333
31.6,42,23,40,2.7,12.4,37,18.875
33.4,43,22,31,2.6,12.2,22.2,61.5
36.1,45,28,24,2.9,10,20.6,68.91666666666667
38.8,45,31,14,2.6,11.9,22.2,77.375
37.9,46,28,14,3.1,12.2,22.2,63.91666666666666
36.2,44,27,13,2.7,9.6,22.2,63.66666666666666
35.5,41,28,22,2.6,15.4,27.8,63.625
30.7,36,27,32,2.7,13.9,22.2,25.45833333333333
31.7,41,26,33,2.9,10.4,18.3,20.75
28.1,33,24,51,2.9,12.4,27.8,40.5
36.7,43,30,28,3.4,7.6,16.5,64.83333333333333
38.1,44,30,22,3.5,7.6,18.3,63.0
37.1,43,32,26,3.1,16.3,31.7,73.83333333333333
30.2,39,24,52,2.6,14.1,22.2,31.875
27.3,33,22,72,2.4,7.4,14.8,54.958333333333336
31.6,37,27,57,2.4,5.9,16.5,77.75
36.7,42,32,43,3.2,12.6,20.6,75.33333333333333
33.3,38,29,48,3.4,15.4,22.2,32.583333333333336
30.1,35,25,67,3.4,13.3,37,28.375
26.7,30,23,83,2.1,8.9,16.5,28.541666666666668
31.2,39,26,58,2.6,13.1,20.6,51.04166666666666
32.4,38,28,54,3.1,13.1,24.1,40.0
31.4,37,27,56,3.2,8.7,22.2,37.583333333333336
33.6,39,28,47,3.4,10.6,20.6,37.625
32.1,41,27,54,3.4,13.9,33.5,34.375
28,33,25,83,1.6,6.9,14.8,42.29166666666666
30.7,35,27,70,2.4,8,16.5,45.66666666666666
28.8,33,26,82,1.8,7.2,14.8,40.625
29.7,33,25,73,3.5,7,11.1,26.875
30.6,36,28,73,3.7,10.9,18.3,30.70833333333333
32.8,37,29,60,4.2,14.8,24.1,10.208333333333334
29.2,33,26,76,2.9,4.6,14.8,43.04166666666666
28.6,32,25,81,2.6,8.3,16.5,19.416666666666668
30.8,35,27,76,3.4,10.2,14.8,8.416666666666666
31.2,35,28,73,2.4,13.1,20.6,0.0
29.6,32,26,75,2.9,18,22.2,0.0
29.2,33,26,74,3.5,15,22.2,4.833333333333333
28.8,31,26,75,2.4,8.9,14.8,15.375
27.7,31,25,81,2.7,5.9,14.8,19.83333333333333
28.8,33,26,78,3.1,5.9,20.6,25.791666666666668
30.2,35,26,71,3.5,10.2,14.8,22.70833333333333
29,34,26,83,2.1,7.2,16.5,31.33333333333333
29.3,32,27,83,1.3,7.6,14.8,47.41666666666666
27.1,29,26,93,1,7.8,13,33.791666666666664
31.6,35,28,71,3.2,5.6,13,39.04166666666666
30.2,33,28,81,3.1,6.7,11.1,41.708333333333336
27.8,31,26,91,2.6,6.3,14.8,28.75
30.4,35,26,72,3.5,13.1,22.2,12.25
30.1,34,27,70,3.7,14.3,22.2,14.5
29.6,33,27,74,3.4,10.9,18.3,23.916666666666668
31.4,36,26,65,3.5,13.7,22.2,27.375
31.4,35,27,66,4,10.9,22.2,29.20833333333333
31.9,36,27,63,3.2,9.4,14.8,36.5
31,35,27,61,4,12.8,18.3,27.83333333333333
31.3,35,27,56,3.5,13.3,22.2,44.125
30.4,34,27,57,3.2,12.8,24.1,62.25
30.7,34,26,56,3.1,8,22.2,60.125
31.2,36,25,48,4,9.3,22.2,34.666666666666664
30.6,36,25,56,3.7,12.2,20.6,39.208333333333336
30.9,36,24,53,3.5,13.5,63,38.708333333333336
31.9,37,26,56,2.9,5.7,11.1,69.95833333333333
32.2,37,27,53,2.4,7,20.6,94.375
32.4,37,27,58,2.7,6.7,11.1,85.75
29.9,35,26,79,2.1,8.5,14.8,51.66666666666666
29.9,36,26,69,3.1,10.7,16.5,39.41666666666666
29.6,35,26,69,3.4,9.1,16.5,23.95833333333333
28.7,35,23,51,4.2,8.3,20.6,43.5
29.4,35,25,54,3.5,8.5,18.3,50.41666666666666
29.3,34,25,58,3.5,8.5,16.5,55.708333333333336
27.8,35,21,53,4.2,6.3,14.8,57.125
28.1,35,21,50,3.5,7,14.8,69.375
29.1,36,21,52,3.7,6.3,16.5,65.375
29,34,22,58,2.6,9.1,22.2,112.29166666666669
29.5,35,23,48,3.4,7.2,18.3,97.70833333333331
29.1,35,22,45,3.4,6.5,22.2,80.70833333333333
29.3,35,24,63,2.9,8.9,14.8,81.625
27.4,34,21,63,2.9,7.4,20.6,65.375
28.1,34,22,57,2.9,5.9,13,84.375
29.4,36,23,51,2.1,6.1,13,141.95833333333334
30.3,36,24,45,2.4,6.3,14.8,153.375
27.1,33,20,47,2.1,7.4,13,162.875
27,33,20,41,2.6,13.3,18.3,0.0
25.4,31,21,47,3.2,8.9,22.2,49.333333333333336
24.9,31,19,50,2.7,5.6,13,107.33333333333331
23.1,29,17,59,1,2.8,11.1,273.625
24.4,30,19,52,1.6,3.1,11.1,256.9583333333333
24.9,31,18,54,1.8,3,7.6,185.08333333333331
24.9,30,19,51,1.3,3.3,9.4,249.5
21.9,27,16,69,0.6,5.6,11.1,365.75
22.7,28,19,59,1.4,8.1,14.8,241.875
24.4,29,19,52,1.6,7.2,11.1,176.875
22.9,29,17,56,1,8,18.3,353.0416666666667
22.9,29,17,57,1.4,6.9,14.8,257.4166666666667
24,32,17,46,1.6,2.4,11.1,204.75
19.2,27,12,49,1.3,3,13,207.83333333333331
18.8,27,12,57,1,2.6,11.1,268.1666666666667
19.5,27,13,55,1.3,1.9,7.6,278.3333333333333
19.4,27,13,50,2.4,8.5,22.2,157.5
20.3,28,13,46,2.4,5.7,14.8,156.375
18.1,22,12,66,1.6,5.2,16.5,200.5
19.4,26,14,74,0.8,3.7,9.4,212.125
18.6,25,14,60,1.1,3.3,11.1,190.5
17.3,24,12,71,0.6,8.7,18.3,236.41666666666663
18.7,26,13,70,0.8,4.8,13,286.375
19.2,26,14,66,1,3.3,11.1,288.0833333333333
18.8,23.8,13.4,73,1,8.3,22.2,302.4583333333333
13.1,21.3,5,60,1.9,4.8,14.8,163.0
13.1,21.3,6.8,54,1.9,9.4,18.3,161.375
12.6,22.4,6,53,1.9,5.4,18.3,157.375
12.3,21.2,6,62,1.4,4.8,14.8,245.91666666666663
12.8,21.2,6,59,1.3,3.1,14.8,264.5833333333333
12.7,20,6,64,1,3.7,9.4,253.29166666666663
11.2,19,4,58,1.9,9.3,16.5,181.20833333333331
13.3,21.2,6,52,1.6,7.6,18.3,210.875
14.3,22.4,7.6,57,1.3,9.6,20.6,255.33333333333331
-,-,-,-,-,-,-,nan
14.6,23,8,69,0.6,3.1,14.8,284.7958333333333
14.6,22.2,7.9,64,1,5,16.5,219.72083333333333
13.8,22.2,8,68,1,5.7,14.8,182.1875
18.2,25,12,75,0.5,3.5,11.1,154.03750000000002
14.3,19.4,10,89,0.3,7.6,14.8,223.20833333333331
14.6,22.1,8,67,1.4,9.6,24.1,200.64583333333337
16.1,22,13,81,0.6,9.3,20.6,285.225
14.1,19.1,10,83,0.6,7.4,13,236.825
12.5,16.2,9.6,83,1.3,13,18.3,276.90833333333336
10.4,16.2,7,91,0.5,6.9,13,108.0
9.7,14.4,7,87,0.5,8.3,13,107.625
10.2,16.4,3,78,1,7.8,14.8,125.89166666666668
10.6,17.2,6,75,1,6.9,11.1,181.01250000000005
13.9,22.7,7.4,69,1,5.6,11.1,152.55416666666667
16.4,23.8,10,65,1.3,5.6,11.1,152.32083333333335
16.6,22.2,10,75,1.3,10,20.6,319.7375
14.7,22.9,8,61,2.1,9.4,18.3,332.7083333333333
14.6,22.2,7,52,2.6,9.6,20.6,279.6
14,22.3,7,55,2.3,11.1,22.2,179.11666666666667
16.4,22.4,9,69,1.4,7.8,14.8,54.79166666666666
15.5,23.6,9,68,1.6,8,16.5,93.375
15.4,24.4,8,72,1.1,6.5,16.5,103.0
16.3,26.7,11,56,2.3,10.4,20.6,132.20833333333334
17.3,24.8,9.7,57,1.9,10,16.5,127.70833333333331
16.5,23,10.9,58,1.8,6.9,18.3,109.33333333333331
22.2,29.8,15,65,1.3,6.3,13,56.458333333333336
21.9,28.2,16,72,1.4,13,20.6,135.83333333333334
18.4,27,11,62,2.4,15.2,24.1,122.5
21.6,32.2,12,44,3.1,9.3,16.5,69.66666666666667
22.8,31.9,14.5,42,2.7,7.2,16.5,79.83333333333333
21.9,29.9,14.4,49,2.3,4.3,11.1,62.708333333333336
24.1,32.2,16.4,51,1.9,3.7,11.1,1.9166666666666667
25,33.8,16.4,45,2.1,5,11.1,1.8333333333333333
25.6,34.6,17.1,46,2.1,8.7,18.3,1.7916666666666667
22.4,29.8,16,65,2.1,10.7,20.6,117.58333333333331
22.3,30,16,59,2.7,8.5,16.5,122.70833333333331
22.8,30.4,15.8,54,2.1,8.9,20.6,76.54166666666667
23.7,29.4,17.7,59,3.4,10.7,20.6,59.208333333333336
21.6,29.2,16,54,3.1,8.3,20.6,77.20833333333333
22.6,31,15,53,3.1,11.1,22.2,87.83333333333333
25.8,35,19.4,50,2.7,8.5,27.8,123.70833333333331
26.6,35,19.6,46,2.4,10.2,18.3,64.79166666666667
24.9,34.5,18.7,34,4,16.7,24.1,62.875
29.3,38.4,19,34,2.7,10.4,20.6,52.04166666666666
24.1,28.1,19.4,53,3.4,14.3,24.1,128.33333333333334
25.5,34,17,39,3.4,8.9,18.3,87.58333333333333
30.4,40,20.4,30,2.6,7.8,16.5,23.20833333333333
30.8,39.2,21,30,3.1,11.5,24.1,15.166666666666666
31.4,41.2,22,32,3.7,6.3,20.6,21.25
33.4,43,25.1,30,2.6,7.8,18.3,25.75
27.3,37,20,36,2.9,11.9,22.2,105.33333333333331
29,38,19.5,26,3.4,6.7,13,117.75
31.3,38.4,20.6,22,2.7,9.6,18.3,20.791666666666668
30.4,39,21,22,3.1,13.7,29.4,46.91666666666666
32.7,41,22,20,3.4,9.6,20.6,104.625
33.9,42.2,22.4,19,2.9,9.1,22.2,109.625
-,-,-,-,-,-,-,63.458333333333336
-,-,-,-,-,-,-,77.04166666666667
33.3,41,23,20,3.5,12,24.1,30.875
33.2,41,24.2,23,2.9,9.1,20.6,75.58333333333333
30.9,38.3,22,18,3.2,8.5,22.2,106.95833333333331
32.5,42.2,23,18,2.4,5.4,22.2,0.0
33.3,43,23,16,2.6,8.3,22.2,0.0
33.6,42,23,15,2.4,9.1,22.2,38.5
34.6,44.2,24,13,2.7,7,18.3,142.5
37.7,46.2,26.8,12,2.9,9.6,22.2,133.375
34.7,46.2,29,20,2.9,10.4,14.8,102.41666666666669
33.7,40.7,24.8,29,3.2,8.5,14.8,158.29166666666666
33.7,40.9,26.4,33,3.2,12.6,20.6,149.58333333333334
32.8,40.2,28.4,38,3.4,14.8,24.1,107.29166666666669
36,44.5,27.8,28,3.5,9.8,37,106.5
36.8,44,28,26,3.4,6.5,13,128.125
37.8,44.4,28.5,20,3.4,5.9,14.8,108.0
36.6,46.4,29.8,34,3.7,13.9,24.1,98.41666666666669
36.6,43.5,30.8,43,3.9,13,22.2,94.375
36.1,44.2,29,46,3.1,15,20.6,118.5
30.9,39.2,26.7,49,2.9,9.3,18.3,110.41666666666669
35.4,41,26.5,39,2.4,6.5,20.6,95.83333333333331
37,42.2,30.5,28,2.3,13.5,24.1,93.5
31.9,39,24.6,49,3.1,9.8,22.2,38.66666666666666
34.4,40.8,25.6,40,3.1,9.8,20.6,45.375
37.3,43.8,29.8,28,2.9,10.4,22.2,65.16666666666667
38.6,46,29,27,3.2,8,22.2,67.08333333333333
33.4,39.2,28.4,45,3.4,13.7,27.8,77.66666666666667
36.2,42.2,29.6,36,3.2,13.1,20.6,70.25
34.6,43.2,28.4,35,3.2,12,22.2,75.125
33.7,41.8,25,46,2.9,13.7,37,77.0
31.7,36.1,25,61,3.2,11.9,27.8,32.958333333333336
34.4,40,29.4,50,2.7,13.1,20.6,40.833333333333336
34.9,41.2,29.8,54,3.7,15,24.1,90.70833333333331
30.3,41.2,27,72,3.2,12.6,22.2,97.29166666666669
31.5,39,27,66,3.9,12.6,18.3,79.83333333333333
34.1,40.8,30.8,59,3.1,12.4,27.8,40.375
34.1,39.4,29.1,59,3.2,12,18.3,49.41666666666666
33.2,40.2,25.2,62,2.9,13.9,22.2,43.66666666666666
31.8,38,25,70,3.2,11.9,18.3,0.0
28.6,37.6,24.7,75,3.2,8.9,18.3,29.666666666666668
28.9,32.5,26,79,2.7,7.2,16.5,47.75
33.2,37.8,28.8,66,3.5,10.6,16.5,43.66666666666666
30.6,36.8,28,74,3.4,7,14.8,29.83333333333333
32.2,37.6,28,69,3.5,7.8,18.3,29.666666666666668
30.7,36.2,26.3,79,2.9,7.8,16.5,37.625
29.6,37,26.4,82,2.6,7.4,22.2,41.458333333333336
30.2,33.4,25.7,82,3.4,9.3,16.5,53.125
31.4,36,26,77,3.7,10.7,16.5,36.0
32.7,38.3,28.6,66,4,10.7,24.1,70.58333333333333
33.7,38.3,28.2,60,3.7,10.6,20.6,52.458333333333336
31.9,36.2,27.6,71,2.7,7,14.8,38.25
29.6,36.2,27,78,2.4,11.7,18.3,26.58333333333333
27.9,32.5,26.6,88,1.9,9.4,27.8,57.583333333333336
28.6,32,25.9,86,2.4,6.9,13,41.375
28.4,32,26.4,85,2.6,9.8,22.2,25.541666666666668
29.3,35.2,25.8,80,2.9,8.3,22.2,28.375
32,35.2,25.6,65,4,10.4,18.3,40.333333333333336
32.2,36.8,26.3,67,3.7,11.1,18.3,35.375
31.9,36.5,28.2,69,4.2,11.9,18.3,31.916666666666668
30.1,36.2,27.8,79,3.2,11.5,18.3,36.79166666666666
29.4,33.9,25.2,82,2.6,5.4,18.3,26.83333333333333
28.9,32.2,25,84,2.4,7.6,18.3,21.125
30.6,35,27,76,3.9,13.5,20.6,18.0
31.5,34.8,26.6,70,3.4,6.5,14.8,43.583333333333336
30.9,35.4,27,72,3.9,12.8,18.3,46.04166666666666
29.6,36,25.8,72,4,11.3,18.3,28.75
29.8,34.4,26.3,82,3.7,5.7,16.5,64.91666666666667
30.3,37.4,26.4,77,3.2,8.1,27.8,30.666666666666668
30.9,36.2,25.6,72,4,8.3,14.8,31.75
26.9,33.2,24,87,2.6,9.3,14.8,33.166666666666664
27.7,31,25.2,88,2.6,3.9,11.1,30.625
29.3,33.7,25.1,78,3.2,12.8,40.7,30.33333333333333
29.6,34,24.6,74,3.9,10.9,20.6,31.75
29.8,35,24.5,68,4.5,11.5,18.3,0.0
30.6,35.5,25,61,5,11.1,18.3,0.0
30.4,35.8,25.2,64,5,10.9,16.5,0.0
30.3,37.4,26,65,4.7,9.3,13,83.45833333333333
30.2,35,24.5,69,3.9,4.8,13,71.66666666666667
31.5,37,26.4,61,3.5,5.6,14.8,65.625
31.5,37.4,26.2,59,3.5,4.6,11.1,62.375
32.3,38,25.4,54,2.9,6.1,11.1,24.875
31.1,37.8,26.8,64,2.9,9.8,18.3,37.333333333333336
30.4,35.4,25.4,65,3.1,4.8,9.4,41.5
30.5,36,25.6,66,3.1,6.7,11.1,38.79166666666666
31.1,37.2,25.6,62,3.4,6.1,11.1,48.91666666666666
31.8,37.2,26.5,64,2.9,5.6,11.1,26.666666666666668
31.9,37.2,27.3,66,3.7,5.7,14.8,29.0
32.5,37.6,27.6,63,2.7,6.7,14.8,34.25
30,35.6,24,64,2.6,6.3,16.5,60.54166666666666
30.2,36.2,24,58,2.9,6.7,20.6,41.583333333333336
30.2,36,23.6,59,2.7,4.6,11.1,50.91666666666666
27.9,36,20.8,41,3.5,8.9,22.2,82.83333333333333
28.2,36,20.4,41,3.9,7.8,16.5,95.25
26.8,35.8,18.8,44,2.7,5.7,14.8,115.83333333333331
27.3,35.8,18,38,2.9,4.4,14.8,136.70833333333334
26.7,35.6,19,38,3.2,5.4,18.3,160.66666666666666
27.4,35.6,19.6,39,3.7,7,18.3,173.58333333333334
25.7,33.2,19,47,3.2,8,20.6,261.6666666666667
26.3,34.7,19,46,2.4,5.6,16.5,272.4166666666667
24.8,33.2,18,48,1.6,5.6,18.3,226.29166666666663
23.2,33.1,16.9,58,1.1,2.4,9.4,99.70833333333331
23.1,30.4,16,55,0.8,3,9.4,217.375
21.4,29,17,71,0.3,1.9,7.6,309.375
23.3,30.5,16.1,60,0.6,1.7,9.4,166.91666666666666
21.6,29,15.2,56,0.5,9.1,14.8,278.0
21.1,29,14,51,0.8,8.7,22.2,192.33333333333331
20.6,30,13,47,0.6,5.4,14.8,235.33333333333331
-,-,-,-,-,-,-,171.54166666666666
22.6,29.8,16,49,1.6,3.5,11.1,221.54166666666663
20.2,29.8,13.9,49,1.1,4.3,13,210.54166666666663
19.1,27.5,12,50,1.1,5.9,14.8,251.20833333333331
21,29.8,12.6,47,1.1,4.4,11.1,194.70833333333331
21.3,30.8,13,48,1.1,1.7,9.4,250.875
21,30.2,12.4,46,2.1,6.5,22.2,274.875
21.3,30.2,14,41,2.7,12,20.6,160.0
20.2,30.4,13,41,2.6,12,18.3,217.91666666666663
20.1,28.4,12,39,2.3,5.6,16.5,184.20833333333331
19.1,26.6,13,81,0.6,3.1,11.1,176.375
16.5,25.8,12,87,0.5,3.9,11.1,185.95833333333331
17.3,26.2,10,59,1.6,3.1,11.1,195.375
16,24,11,83,0.3,3.3,9.4,365.2916666666667
16.3,25.6,10,76,0.8,3.1,7.6,312.2083333333333
17.9,27.2,9.5,66,1.1,4.3,9.4,237.625
17.9,26.3,12,61,1.3,3.7,11.1,202.875
16.1,23.3,11,70,1.3,8.1,13,260.1666666666667
15.8,24.4,10,59,2.1,5.7,16.5,403.9583333333333
14.4,22.8,7.6,71,1.1,9.4,16.5,284.1666666666667
15.5,24,8.4,67,1.3,13.3,22.2,288.4166666666667
16.2,25,9,56,1.8,10,20.6,256.8333333333333
13.7,25.2,10,92,0.5,10.4,14.8,169.0
14.4,23,8,76,0.8,9.4,16.5,186.04166666666663
14.3,23,7,67,0.8,4.3,16.5,185.58333333333331
-,-,-,-,-,-,-,nan
